,symbol,emoji,kline,alert_price,Time_(MSK)
0,KAVAUSDT,🌊🌊🌊,2 kline,alert price: 0.8744,2023-12-07 20:15:22.452000
1,INJUSDT,💥💥💥,1 kline,alert price: 18.217,2023-12-07 20:09:44.997000
2,BNXUSDT,🌊🌊🌊,2 kline,alert price: 0.3057,2023-12-07 20:09:41.819000
3,ONTUSDT,💥💥💥,1 kline,alert price: 0.2372,2023-12-07 20:06:40.487000
4,BATUSDT,🌊🌊🌊,2 kline,alert price: 0.2479,2023-12-07 20:05:01.332000
5,ALPHAUSDT,💥💥💥,1 kline,alert price: 0.10403,2023-12-07 19:57:58.706000
6,UMAUSDT,💥💥💥,1 kline,alert price: 2.051,2023-12-07 19:52:25.894000
7,CHRUSDT,💥💥💥,1 kline,alert price: 0.1533,2023-12-07 19:52:24.416000
8,1000PEPEUSDT,💥💥💥,1 kline,alert price: 0.0016426,2023-12-07 19:50:31.075000
9,IOTXUSDT,💥💥💥,1 kline,alert price: 0.03429,2023-12-07 19:49:55.638000
10,WAXPUSDT,💥💥💥,1 kline,alert price: 0.06734,2023-12-07 19:47:31.877000
11,️ ‼️‼️‼️‼️,BITCOIN PUMP,‼️‼️‼️‼️‼️,alert price: 43677.9,2023-12-07 18:03:49.909000
12,ARUSDT,💥💥💥,1 kline,alert price: 8.418,2023-12-07 19:43:52.413000
13,BONDUSDT,💥💥💥,1 kline,alert price: 3.775,2023-12-07 19:36:45.380000
14,1000LUNCUSDT,💥💥💥,1 kline,alert price: 0.20675,2023-12-07 19:35:31.200000
15,1000FLOKIUSDT,💥💥💥,1 kline,alert price: 0.04188,2023-12-07 19:31:01.936000
16,PHBUSDT,💥💥💥,1 kline,alert price: 0.8625,2023-12-07 19:30:59.392000
17,STEEMUSDT,💥💥💥,1 kline,alert price: 0.2626,2023-12-07 19:29:55.857000
18,GTCUSDT,🌊🌊🌊,2 kline,alert price: 1.183,2023-12-07 19:24:03.423000
19,WLDUSDT,💥💥💥,1 kline,alert price: 2.4734,2023-12-07 19:23:25.078000
20,ONEUSDT,💥💥💥,1 kline,alert price: 0.01564,2023-12-07 19:22:34.038000
21,ARPAUSDT,💥💥💥,1 kline,alert price: 0.05388,2023-12-07 19:18:48.473000
22,DUSKUSDT,💥💥💥,1 kline,alert price: 0.17729,2023-12-07 19:17:44.235000
23,XVGUSDT,💥💥💥,1 kline,alert price: 0.003846,2023-12-07 19:15:46.697000
24,OXTUSDT,💥💥💥,1 kline,alert price: 0.08414,2023-12-07 19:15:32.877000
25,HOTUSDT,💥💥💥,1 kline,alert price: 0.002018,2023-12-07 19:13:27.485000
26,CTSIUSDT,🌊🌊🌊,3 kline,alert price: 0.164,2023-12-07 19:12:41.940000
27,CFXUSDT,💥💥💥,1 kline,alert price: 0.1996,2023-12-07 19:10:59.858000
28,OPUSDT,💥💥💥,1 kline,alert price: 2.0403,2023-12-07 19:04:43.150000
29,ICXUSDT,💥💥💥,1 kline,alert price: 0.2671,2023-12-07 19:03:47.241000
30,BALUSDT,💥💥💥,1 kline,alert price: 4.26,2023-12-07 19:02:31.735000
31,LPTUSDT,💥💥💥,1 kline,alert price: 6.767,2023-12-07 18:59:23.600000
32,LQTYUSDT,💥💥💥,1 kline,alert price: 1.5409,2023-12-07 18:58:51.242000
